1,北京,1,东城区,1
1,北京,2,西城区,1
1,北京,3,崇文区,1
1,北京,4,宣武区,1
1,北京,5,朝阳区,1
1,北京,6,丰台区,1
1,北京,7,石景山区,1
1,北京,8,海淀区,1
1,北京,9,门头沟区,1
1,北京,10,房山区,1
1,北京,11,通州区,1
1,北京,12,顺义区,1
1,北京,13,昌平区,1
1,北京,14,大兴区,1
1,北京,15,怀柔区,1
1,北京,16,平谷区,1
1,北京,17,密云县,1
1,北京,18,延庆县,1
2,上海,107,黄浦区,1
2,上海,108,卢湾区,1
2,上海,109,徐汇区,1
2,上海,110,长宁区,1
2,上海,111,静安区,1
2,上海,112,普陀区,1
2,上海,113,闸北区,1
2,上海,114,虹口区,1
2,上海,115,杨浦区,1
2,上海,116,闵行区,1
2,上海,117,宝山区,1
2,上海,118,嘉定区,1
2,上海,119,浦东新区,1
2,上海,120,金山区,1
2,上海,121,松江区,1
2,上海,122,青浦区,1
2,上海,123,南汇区,1
2,上海,124,奉贤区,1
2,上海,125,崇明县,1
